"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","gene_name","go","ontology","Overlap"
"43","ENSBTAG00000036016",123.3830827,2.140769048,0.238859939,6.869168008,6.46e-12,2.69e-09,"JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","GO:0001228","BP",FALSE
"44","ENSBTAG00000016819",901.6156356,1.240425006,0.107880432,6.863385635,6.72e-12,2.73e-09,"GRINA","glutamate ionotropic receptor NMDA type subunit associated protein 1","GO:0005783","BP",FALSE
"45","ENSBTAG00000046375",62.36775787,2.921346928,0.356124402,6.799160387,1.05e-11,4.18e-09,"FAHD1","fumarylacetoacetate hydrolase domain containing 1","GO:0005654","CC",FALSE
"46","ENSBTAG00000007430",9232.010834,-0.89070318,0.05790913,-6.746832198,1.51e-11,5.88e-09,"GCH1","GTP cyclohydrolase 1",NA,NA,FALSE
"47","ENSBTAG00000024958",338.0669973,1.315647348,0.12199463,6.685928274,2.29e-11,8.73e-09,"ADAMTSL2","ADAMTS like 2",NA,NA,FALSE
"48","ENSBTAG00000015290",49.87154228,2.600591403,0.316757224,6.631550106,3.32e-11,1.24e-08,"ADORA1","adenosine A1 receptor","GO:0001609","BP",FALSE
"49","ENSBTAG00000003696",613.4107619,1.174177709,0.101771043,6.624455168,3.49e-11,1.27e-08,"GRN","granulin precursor",NA,NA,FALSE
"50","ENSBTAG00000018240",142.9453896,-1.723500118,0.184962542,-6.614853515,3.72e-11,1.33e-08,"SMC1B","structural maintenance of chromosomes 1B",NA,NA,FALSE
"51","ENSBTAG00000002779",1442.349761,1.121970491,0.09433977,6.592876893,4.31e-11,1.51e-08,"BTG3","BTG anti-proliferation factor 3",NA,NA,FALSE
"52","ENSBTAG00000001824",1792.578127,0.95197898,0.069803706,6.474999769,9.48e-11,3.26e-08,"FEM1B","fem-1 homolog B",NA,NA,FALSE
"53","ENSBTAG00000003458",1542.780538,-0.981914888,0.074823565,-6.440683326,1.19e-10,4.01e-08,"TXN2","thioredoxin 2","GO:0005730","BP",FALSE
"54","ENSBTAG00000016658",1547.904296,1.038595721,0.084337631,6.386185081,1.7e-10,5.63e-08,"ARHGEF17","Rho guanine nucleotide exchange factor 17",NA,NA,FALSE
"55","ENSBTAG00000017819",1078.331271,1.007123827,0.080109697,6.33036756,2.45e-10,7.96e-08,"TCF24","transcription factor 24",NA,NA,FALSE
"56","ENSBTAG00000021999",1480.398277,1.0680437,0.089933442,6.316267749,2.68e-10,8.56e-08,"PARP1","poly(ADP-ribose) polymerase 1","GO:0003677","BP",FALSE
"57","ENSBTAG00000000697",565.7711111,-1.110044389,0.097505015,-6.256543692,3.94e-10,1.24e-07,"ACTN4","actinin alpha 4","GO:0003779","BP",FALSE
"58","ENSBTAG00000015318",1177.108916,1.020828808,0.083540353,6.234457833,4.53e-10,1.4e-07,"C23H6orf89","chromosome 23 C6orf89 homolog",NA,NA,FALSE
"59","ENSBTAG00000048906",299.4485509,1.243547484,0.119626122,6.215594645,5.11e-10,1.55e-07,"LOC101906045","p53 apoptosis effector related to PMP-22 pseudogene",NA,NA,FALSE
"60","ENSBTAG00000000898",1590.79074,-0.959522014,0.074682548,-6.153003925,7.6e-10,2.27e-07,"RPS9","ribosomal protein S9","GO:0005730","BP",FALSE
"61","ENSBTAG00000011839",26870.24385,0.873676793,0.060861241,6.139815502,8.26e-10,2.42e-07,"CLIP1","CAP-Gly domain containing linker protein 1",NA,NA,FALSE
"62","ENSBTAG00000020261",45.60912554,2.391217338,0.309019667,6.120054934,9.35e-10,2.7e-07,"MIR2285AB","microRNA mir-2285ab",NA,NA,FALSE
"63","ENSBTAG00000039446",79.0298718,2.140081048,0.268214016,6.1148223,9.67e-10,2.74e-07,"VAPA","VAMP associated protein A","GO:0005783","BP",FALSE
"64","ENSBTAG00000002770",1408.619053,0.970582953,0.077372085,6.082076631,1.19e-09,3.32e-07,"EFCAB2","EF-hand calcium binding domain 2",NA,NA,FALSE
"65","ENSBTAG00000021013",382.3130776,1.22402474,0.119720983,6.04760102,1.47e-09,4.05e-07,"TUBB4A","tubulin beta 4A class IVa",NA,NA,FALSE
"66","ENSBTAG00000012412",1424.484722,-0.940189003,0.0734244,-5.995132456,2.03e-09,5.51e-07,"LIN28B","lin-28 homolog B",NA,NA,FALSE
"67","ENSBTAG00000004225",4589.568315,-0.869441862,0.06197247,-5.96138673,2.5e-09,6.68e-07,"NGDN","neuroguidin","GO:0000775","BP",FALSE
"68","ENSBTAG00000000163",1850.462796,0.959504104,0.077344501,5.941005469,2.83e-09,7.45e-07,"RGS16","regulator of G protein signaling 16","GO:0005096","BP",TRUE
"69","ENSBTAG00000006307",373.7955746,1.243751119,0.125534887,5.924656794,3.13e-09,8.11e-07,"DDX49","DEAD-box helicase 49",NA,NA,FALSE
"70","ENSBTAG00000000981",147.8563013,1.473604519,0.166598454,5.844018915,5.1e-09,1.3e-06,"AURKC","aurora kinase C",NA,NA,FALSE
"71","ENSBTAG00000014187",108.2883483,1.601064137,0.189182807,5.820106762,5.88e-09,1.48e-06,"HSPB11","heat shock protein family B (small) member 11",NA,NA,FALSE
"72","ENSBTAG00000015541",2821.12834,-0.911247432,0.071599145,-5.743747808,9.26e-09,2.3e-06,"RPL7","ribosomal protein L7",NA,NA,FALSE
"73","ENSBTAG00000003923",380.3820578,1.214547443,0.124451624,5.741567841,9.38e-09,2.3e-06,"ACSS2","acyl-CoA synthetase short chain family member 2",NA,NA,FALSE
"74","ENSBTAG00000011562",154.2013791,1.447901539,0.165928762,5.712701815,1.11e-08,2.69e-06,"RAD54B","RAD54 homolog B",NA,NA,FALSE
"75","ENSBTAG00000040078",183.5957428,1.394973021,0.158207737,5.656948517,1.54e-08,3.68e-06,"CPB1","carboxypeptidase B1","GO:0008270","MF",FALSE
"76","ENSBTAG00000001801",225.9891213,1.321649847,0.146054588,5.625635293,1.85e-08,4.35e-06,"PRSS12","serine protease 12",NA,NA,FALSE
"77","ENSBTAG00000010069",147.3447148,1.47081061,0.17377465,5.586606619,2.32e-08,5.37e-06,"EGR1","early growth response 1 ",NA,NA,TRUE
"78","ENSBTAG00000004305",280.3533296,1.233283259,0.131303341,5.584650426,2.34e-08,5.37e-06,"CTU2","cytosolic thiouridylase subunit 2","GO:0000049","BP",FALSE
"79","ENSBTAG00000013099",93.83283545,1.684706892,0.214232165,5.530014094,3.2e-08,7.25e-06,"CDKN1A","cyclin dependent kinase inhibitor 1A",NA,NA,FALSE
"80","ENSBTAG00000010809",667.1371422,1.05552597,0.10191868,5.450678598,5.02e-08,1.12e-05,"KCNRG","potassium channel regulator","GO:0005783","BP",FALSE
"81","ENSBTAG00000012755",745.0012772,0.972110075,0.086761026,5.441499419,5.28e-08,1.17e-05,"FCER2","Fc fragment of IgE receptor II",NA,NA,FALSE
"82","ENSBTAG00000018823",2283.808533,0.858986418,0.066616134,5.388880958,7.09e-08,1.55e-05,"FRAT2","FRAT regulator of WNT signaling pathway 2",NA,NA,FALSE
"83","ENSBTAG00000004344",1805.191403,0.91113855,0.076424959,5.379637137,7.46e-08,1.61e-05,"ACSL1","acyl-CoA synthetase long chain family member 1",NA,NA,FALSE
"84","ENSBTAG00000006951",114.1293334,1.66781555,0.21720068,5.376666168,7.59e-08,1.62e-05,"CTDNEP1","CTD nuclear envelope phosphatase 1","GO:0004722","BP",FALSE
"85","ENSBTAG00000048257",236.8225521,1.212601653,0.133154647,5.351684422,8.71e-08,1.83e-05,"TRMT11","tRNA methyltransferase 11 homolog","GO:0000049","BP",FALSE
"86","ENSBTAG00000034918",52.10988583,2.024590308,0.286021945,5.330326338,9.8e-08,2.02e-05,"MAP3K9","mitogen-activated protein kinase kinase kinase 9",NA,NA,FALSE
"87","ENSBTAG00000006828",837.9535461,0.942808268,0.083080768,5.329852832,9.83e-08,2.02e-05,"LOC112441686","U6 spliceosomal RNA",NA,NA,FALSE
"88","ENSBTAG00000014439",620.0983934,1.125117628,0.118142979,5.291195725,1.22e-07,2.47e-05,"ABHD6","abhydrolase domain containing 6, acylglycerol lipase","GO:0005765","BP",FALSE
"89","ENSBTAG00000008497",54.55148106,1.961649169,0.277306248,5.270884373,1.36e-07,2.73e-05,"POU2F1","POU class 2 homeobox 1",NA,NA,FALSE
"90","ENSBTAG00000013855",525.0290945,1.032179631,0.103185752,5.157491416,2.5e-07,4.98e-05,"MIRLET7E","microRNA let-7e",NA,NA,FALSE
"91","ENSBTAG00000013982",9804.582613,0.827781703,0.063662183,5.148766279,2.62e-07,5.15e-05,"DPY30","dpy-30 histone methyltransferase complex regulatory subunit","GO:0000781","BP",FALSE
"92","ENSBTAG00000005504",538.2603404,1.017114565,0.101340655,5.10273558,3.35e-07,6.51e-05,"ELP6","elongator acetyltransferase complex subunit 6",NA,NA,FALSE
"93","ENSBTAG00000010180",1716.587894,-0.883190758,0.075509306,-5.074748802,3.88e-07,7.46e-05,"URB2","URB2 ribosome biosis homolog",NA,NA,FALSE
"94","ENSBTAG00000008575",521.0152516,1.045028896,0.107619071,5.064426695,4.1e-07,7.8e-05,"MEGF6","multiple EGF like domains 6",NA,NA,FALSE
"95","ENSBTAG00000053443",32.00140169,2.409107296,0.377393045,5.058671119,4.22e-07,7.95e-05,"RUM1","syncytin-Rum1",NA,NA,FALSE
"96","ENSBTAG00000016194",81.69046375,1.670133258,0.231844309,5.047064827,4.49e-07,8.36e-05,"PFN3","profilin 3","GO:0005634","BP",FALSE
"97","ENSBTAG00000046900",39.32031037,2.320078722,0.361038528,5.041231288,4.63e-07,8.53e-05,"ZFP62","ZFP62 zinc finger protein",NA,NA,FALSE
"98","ENSBTAG00000011237",173.791834,1.479514134,0.195154788,5.01916528,5.19e-07,9.47e-05,"GOLM2","golgi membrane protein 2","GO:0016021","CC",FALSE
"99","ENSBTAG00000009475",2324.638551,0.890835823,0.078500528,4.978766779,6.4e-07,0.000115636,"PLXDC2","plexin domain containing 2",NA,NA,FALSE
"100","ENSBTAG00000049993",73.8081506,1.621011081,0.227343563,4.93091191,8.18e-07,0.000146424,"AMZ2","archaelysin family metallopeptidase 2",NA,NA,FALSE
"101","ENSBTAG00000040190",293.0368246,1.113760942,0.124951229,4.912004055,9.02e-07,0.000159682,"STXBP3","syntaxin binding protein 3",NA,NA,FALSE
"102","ENSBTAG00000014558",8176.587154,-0.811503922,0.063700299,-4.890148517,1.01e-06,0.000176725,"DDX21","DExD-box helicase 21",NA,NA,TRUE
"103","ENSBTAG00000006082",957.4150758,0.958624568,0.093864592,4.886023126,1.03e-06,0.000178714,"FGF22","fibroblast growth factor 22",NA,NA,TRUE
"104","ENSBTAG00000002566",461.0889147,1.04480568,0.111652029,4.879496438,1.06e-06,0.000182955,"ASPHD2","aspartate beta-hydroxylase domain containing 2",NA,NA,FALSE
"105","ENSBTAG00000019940",34.63966451,2.247934799,0.358750736,4.872282127,1.1e-06,0.000187958,"SGCG","sarcoglycan gamma","GO:0005737","CC",FALSE
"106","ENSBTAG00000013792",3512.053848,0.915542155,0.085425018,4.864408178,1.15e-06,0.000193752,"ENPP5","ectonucleotide pyrophosphatase/phosphodiesterase family member 5",NA,NA,FALSE
"107","ENSBTAG00000018517",695.6026373,0.945749014,0.091762201,4.857653923,1.19e-06,0.000198604,"VLDLR","very low density lipoprotein receptor",NA,NA,FALSE
"108","ENSBTAG00000004034",156.6023225,1.495582276,0.20508929,4.854384517,1.21e-06,0.000200039,"ZBTB8A","zinc finger and BTB domain containing 8A","GO:0003674","BP",FALSE
"109","ENSBTAG00000020676",28.43004427,2.37601183,0.388056263,4.834381007,1.34e-06,0.000219211,"CDC40","cell division cycle 40",NA,NA,FALSE
"110","ENSBTAG00000001294",420.5750325,1.02291817,0.108312187,4.827879335,1.38e-06,0.000224429,"ICE1","interactor of little elongation complex ELL subunit 1",NA,NA,FALSE
"111","ENSBTAG00000002104",55.04464544,1.949039098,0.301363571,4.808275574,1.52e-06,0.000245363,"ANXA7","annexin A7","GO:0005544","CC",FALSE
"112","ENSBTAG00000015016",729.8156216,1.007462952,0.10600092,4.787344794,1.69e-06,0.000269951,"PPIL6","peptidylprolyl isomerase like 6","GO:0003755","MF",FALSE
"113","ENSBTAG00000017616",179.4792498,1.220305037,0.150577923,4.783603223,1.72e-06,0.000272594,"ACADL","acyl-CoA dehydrogenase long chain",NA,NA,FALSE
"114","ENSBTAG00000010932",137.7091332,1.373096709,0.182616005,4.781052518,1.74e-06,0.000273654,"GLB1","galactosidase beta 1","GO:0004565","BP",FALSE
"115","ENSBTAG00000009526",1327.120012,0.888466955,0.081337726,4.775975125,1.79e-06,0.000278211,"EXOSC3","exosome component 3","GO:0000178","BP",FALSE
"116","ENSBTAG00000010644",97.95470832,1.446141696,0.198381209,4.76931106,1.85e-06,0.000285094,"KCNV2","potassium voltage-gated channel modifier subfamily V member 2",NA,NA,FALSE
"117","ENSBTAG00000015267",277.0368194,1.117776935,0.130485856,4.734436017,2.2e-06,0.000335881,"AP2S1","adaptor related protein complex 2 subunit sigma 1","GO:0006886","BP",FALSE
"118","ENSBTAG00000010991",67.46036044,1.835185384,0.282415962,4.727726352,2.27e-06,0.000344228,"VARS1","valyl-tRNA synthetase 1",NA,NA,FALSE
"119","ENSBTAG00000013755",5747.386137,0.8046433,0.064477369,4.724809717,2.3e-06,0.000346271,"IGIP","IgA inducing protein","GO:0005576","CC",FALSE
"120","ENSBTAG00000013235",3295.975654,0.834585954,0.071025331,4.710797526,2.47e-06,0.000367862,"POPDC2","popeye domain containing 2",NA,NA,FALSE
"121","ENSBTAG00000006160",421.9663511,1.031024058,0.113140585,4.693488719,2.69e-06,0.000397106,"ZBTB38","zinc finger and BTB domain containing 38",NA,NA,FALSE
"122","ENSBTAG00000004879",123.6885872,1.331814426,0.177502783,4.686204977,2.78e-06,0.000408123,"OSBPL3","oxysterol binding protein like 3",NA,NA,FALSE
"123","ENSBTAG00000020018",143.0561006,1.428242997,0.198869631,4.667595505,3.05e-06,0.000443243,"PADI1","peptidyl arginine deiminase 1",NA,NA,FALSE
"124","ENSBTAG00000049478",30.16202407,2.315997566,0.389826677,4.658474321,3.19e-06,0.000459602,"LOC112446493","small nucleolar RNA SNORD56",NA,NA,FALSE
"125","ENSBTAG00000011786",4061.81013,-0.799719573,0.064605355,-4.639237305,3.5e-06,0.000500487,"RRN3","RRN3 homolog, RNA polymerase I transcription factor",NA,NA,FALSE
"126","ENSBTAG00000030973",86.92024979,1.533127547,0.222910237,4.634724546,3.57e-06,0.00050747,"SH3D19","SH3 domain containing 19",NA,NA,FALSE
"127","ENSBTAG00000003155",259.8619673,1.122759119,0.135122457,4.608849871,4.05e-06,0.000570371,"CMTM4","CKLF like MARVEL transmembrane domain containing 4",NA,NA,FALSE
"128","ENSBTAG00000001666",1024.507099,-0.944573857,0.09654386,-4.60489002,4.13e-06,0.000573195,"ABRAXAS1","abraxas 1, BRCA1 A complex subunit","GO:0005634","BP",FALSE
"129","ENSBTAG00000017951",455.6246578,1.011446035,0.111073526,4.604571869,4.13e-06,0.000573195,"SBF1","SET binding factor 1",NA,NA,FALSE
"130","ENSBTAG00000016401",3072.260191,0.793227867,0.06374472,4.60003384,4.22e-06,0.000581318,"LOC509155","protein FAM177A1",NA,NA,FALSE
"131","ENSBTAG00000016254",2515.872128,0.863563455,0.07919332,4.590834849,4.41e-06,0.000602902,"MFGE8","milk fat globule EGF and factor V/VIII domain containing","GO:0001525","BP",FALSE
"132","ENSBTAG00000008756",1416.190502,0.941035412,0.096274199,4.581034333,4.63e-06,0.000627074,"TPCN1","two pore segment channel 1",NA,NA,FALSE
"133","ENSBTAG00000033545",17.9338911,2.982185877,0.542778457,4.57311053,4.81e-06,0.000646376,"ZNF304","zinc finger protein 304",NA,NA,FALSE
"134","ENSBTAG00000049223",80.28807863,1.535166788,0.228883353,4.522682742,6.11e-06,0.000815206,"SRP68","signal recognition particle 68",NA,NA,FALSE
"135","ENSBTAG00000048486",1046.669144,0.906864811,0.090576984,4.491922727,7.06e-06,0.000935356,"C17H12orf43","chromosome 17 C12orf43 homolog","GO:0005635","BP",FALSE
"136","ENSBTAG00000010622",152.3236584,1.248483037,0.166786485,4.487671987,7.2e-06,0.000947192,"URAD","ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase","GO:0005777","BP",FALSE
"137","ENSBTAG00000008462",139.9282128,1.301326015,0.179009409,4.476446357,7.59e-06,0.000991076,"MLXIP","MLX interacting protein",NA,NA,FALSE
"138","ENSBTAG00000039028",34.41330908,2.172647184,0.374231675,4.469550005,7.84e-06,0.001016156,"TATDN1","TatD DNase domain containing 1","GO:0005654","BP",FALSE
"139","ENSBTAG00000039499",11.65161245,6.304973939,1.301573583,4.459966008,8.2e-06,0.001048159,"LOC112441470","steroid 17-alpha-hydroxylase/17,20 lyase",NA,NA,FALSE
"140","ENSBTAG00000000507",24.18298332,2.392151569,0.424265408,4.45982994,8.2e-06,0.001048159,"ZNF207","zinc finger protein 207",NA,NA,FALSE
"141","ENSBTAG00000000786",343.0645383,1.028375688,0.118617742,4.454440603,8.41e-06,0.001067211,"SMIM19","small integral membrane protein 19","GO:0016021","CC",TRUE
"142","ENSBTAG00000008197",120.2442668,1.370814023,0.196205174,4.438282664,9.07e-06,0.001142434,"PAXIP1","PAX interacting protein 1","GO:0005694","BP",FALSE
"143","ENSBTAG00000020773",127.8158547,-1.3220141,0.186364214,-4.410793693,1.03e-05,0.001288485,"RAB1B","RAB1B, member RAS oncogene family","GO:0005525","CC",FALSE
"144","ENSBTAG00000049591",18.72135227,-3.001734019,0.571280421,-4.379169889,1.19e-05,0.001480053,"FAM207A","family with sequence similarity 207 member A",NA,NA,FALSE
"145","ENSBTAG00000005431",545.8721326,0.956649628,0.104416449,4.373349536,1.22e-05,0.001509602,"LOC101903586","peroxisomal membrane protein 11A pseudogene",NA,NA,FALSE
"146","ENSBTAG00000011274",127.0029417,1.255138082,0.173316816,4.356981044,1.32e-05,0.001615843,"ACVR2A","activin A receptor type 2A","GO:0001702","BP",FALSE
"147","ENSBTAG00000005432",7536.633201,0.932343227,0.100964243,4.282142028,1.85e-05,0.002252713,"LOC617396","serpin B6-like",NA,NA,FALSE
"148","ENSBTAG00000052352",100.4633353,1.403950934,0.212364951,4.256591923,2.08e-05,0.002509033,"CLDN15","claudin 15","GO:0005198","BP",FALSE
"149","ENSBTAG00000044208",11.38455818,3.673058259,0.746187494,4.252360543,2.12e-05,0.002539767,"XRCC5","X-ray repair cross complementing 5",NA,NA,FALSE
"150","ENSBTAG00000017450",167.3026773,1.249488101,0.177695972,4.217811426,2.47e-05,0.00294213,"PDZD7","PDZ domain containing 7",NA,NA,FALSE
"151","ENSBTAG00000031509",3080.5482,-0.839639407,0.080889462,-4.19880909,2.68e-05,0.003178999,"PFAS","phosphoribosylformylglycinamidine synthase",NA,NA,TRUE
"152","ENSBTAG00000046333",85.60720384,-1.460918196,0.229537475,-4.186323808,2.84e-05,0.003336824,"PGAP2","post-GPI attachment to proteins 2","GO:0000139","BP",FALSE
"153","ENSBTAG00000009080",173.8233875,1.186484145,0.164209464,4.180539464,2.91e-05,0.003400484,"DNAJC7","DnaJ heat shock protein family (Hsp40) member C7",NA,NA,FALSE
"154","ENSBTAG00000009960",1059.842241,0.861512054,0.086577639,4.175582274,2.97e-05,0.003452826,"FLOT1","flotillin 1",NA,NA,FALSE
"155","ENSBTAG00000004237",245.3529926,1.09541984,0.144030843,4.13397455,3.57e-05,0.004115196,"ZNF697","zinc finger protein 697",NA,NA,FALSE
"156","ENSBTAG00000014315",11.94816891,3.781992835,0.794605207,4.130343984,3.62e-05,0.00415393,"PBLD","phenazine biosynthesis like protein domain containing ",NA,NA,FALSE
"157","ENSBTAG00000007039",257.0230849,1.035906248,0.129888872,4.125882694,3.69e-05,0.004208315,"ACMSD","aminocarboxymuconate semialdehyde decarboxylase","GO:0001760","BP",FALSE
"158","ENSBTAG00000051316",1123.606372,-0.830322864,0.080656615,-4.095421832,4.21e-05,0.004771426,"CD180","CD180 molecule",NA,NA,FALSE
"159","ENSBTAG00000011889",1064.786018,-0.825529105,0.079683512,-4.085275547,4.4e-05,0.004953453,"MOCS2","molybdenum cofactor synthesis 2","GO:0005829","BP",FALSE
"160","ENSBTAG00000012039",118.4489278,1.283202311,0.192284757,4.073137795,4.64e-05,0.005186307,"TMEM156","transmembrane protein 156",NA,NA,FALSE
"161","ENSBTAG00000018497",131.432089,1.232197043,0.181149637,4.041945952,5.3e-05,0.005890305,"NUSAP1","nucleolar and spindle associated protein 1","GO:0003677","CC",FALSE
